inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-2901;621;890;1000;1028.2;661.74;6144.7;2146.74;6.75475;0.491528;6.21889;39.3607;11;B
gen-2902;1000;1000;1000;82.855;43.763;82.855;43.763;4.03339;0.803993;3.48106;12.7324;957;A
gen-2903;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2904;996;1000;1000;305.543;162.712;359.543;162.712;5.28927;0.994281;4.72277;23.095;995;B
gen-2905;933;999;1000;534.798;250.812;1439.3;264.312;5.8207;1.21536;5.11386;27.1372;67;B
gen-2906;261;560;1000;1301.51;1044.37;11278;6984.37;7.07204;0.31;6.72187;45.9063;1;B
gen-2907;996;1000;1000;297.452;163.916;351.452;163.916;5.36172;0.717368;4.83428;23.9235;998;B
gen-2908;596;878;1000;1039.11;679.459;6493.11;2326.46;6.76158;0.500483;6.21774;39.4306;7;B
gen-2909;1000;1000;1000;76.475;45.654;76.475;45.654;3.86668;0.988392;3.39984;12.422;999;B
gen-2910;916;959;1000;535.406;381.051;1669.41;934.551;5.85018;1.06511;5.34989;29.9949;45;B
gen-2911;757;917;1000;787.827;501.281;4068.33;1621.78;6.26489;1.16156;5.67158;33.5659;19;B
gen-2912;489;841;1000;1125.24;731.351;8023.74;2877.85;6.87261;0.427105;6.30605;40.517;16;B
gen-2913;655;854;1000;897.252;593.376;5554.75;2564.38;6.4753;0.91431;5.91802;36.2114;4;B
gen-2914;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2915;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2916;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2917;248;452;1000;1303.53;1100.37;11455.5;8498.37;7.08401;0.262453;6.78216;46.6927;2;B
gen-2918;578;807;1000;1024.74;719.635;6721.74;3325.14;6.71213;0.614332;6.22637;39.6761;7;B
gen-2919;596;884;1000;1058.73;710.745;6512.73;2276.74;6.80526;0.4237;6.32493;40.6111;1;B
gen-2920;986;1000;1000;331.224;188.375;520.224;188.375;5.30393;1.12516;4.75577;23.647;503;B
gen-2921;756;973;1000;797.947;403.093;4091.95;767.593;6.32012;0.990453;5.57337;32.0619;1;B
gen-2922;311;428;1000;1239.96;1134.92;10541.5;8856.92;6.98275;0.440177;6.83083;47.3263;1;B
gen-2923;967;999;1000;433.816;196.105;879.316;209.605;5.59685;1.19487;4.8324;24.3525;259;B
gen-2924;352;616;1000;1230.58;976.358;9978.58;6160.36;6.99567;0.344425;6.66067;44.9965;1;B
gen-2925;994;996;1000;273.496;238.62;354.496;292.62;5.17694;0.976761;4.94947;25.6864;996;B
